Stock,Forecast_Horizon,Timestamp,Current_Price,Forecast_Avg,Predicted_Trend,Actual_Trend,Trend_Accuracy,Confidence (%),MAPE,RMSE,Train_RMSE,RMSE_Gap,Model_Order
AAPL,15min,2025-03-26 14:55,221.575,221.5281,Down,Up,0,99.98,0.02,0.0618,0.0067,0.0551,"(3, 1, 4)"
AAPL,30min,2025-03-26 14:55,221.575,221.5939,Up,Up,1,99.97,0.03,0.0779,0.0067,0.0712,"(3, 1, 4)"
AAPL,1hour,2025-03-26 14:55,221.575,221.7239,Up,Up,1,99.92,0.08,0.209,0.0067,0.2023,"(3, 1, 4)"
META,15min,2025-03-26 14:55,606.9425,607.4265,Up,Up,1,99.92,0.08,0.6086,0.025,0.5836,"(2, 1, 2)"
META,30min,2025-03-26 14:55,606.9425,608.5917,Up,Up,1,99.73,0.27,2.1193,0.025,2.0943,"(2, 1, 2)"
META,1hour,2025-03-26 14:55,606.9425,610.075,Up,Up,1,99.48,0.52,3.5995,0.025,3.5745,"(2, 1, 2)"
NVDA,15min,2025-03-26 14:55,112.8399,112.9372,Up,Up,1,99.91,0.09,0.1236,0.0088,0.1148,"(0, 1, 0)"
NVDA,30min,2025-03-26 14:55,112.8399,113.1128,Up,Up,1,99.76,0.24,0.3437,0.0088,0.335,"(0, 1, 0)"
NVDA,1hour,2025-03-26 14:55,112.8399,113.189,Up,Up,1,99.69,0.31,0.4307,0.0088,0.4219,"(0, 1, 0)"
GOOGL,15min,2025-03-26 14:55,165.695,165.7494,Up,Up,1,99.96,0.04,0.0974,0.0147,0.0827,"(1, 1, 0)"
GOOGL,30min,2025-03-26 14:55,165.695,165.9514,Up,Up,1,99.84,0.16,0.336,0.0147,0.3213,"(1, 1, 0)"
GOOGL,1hour,2025-03-26 14:55,165.695,166.1093,Up,Up,1,99.75,0.25,0.4886,0.0147,0.4739,"(1, 1, 0)"
TSLA,15min,2025-03-26 14:55,269.67,270.1149,Up,Up,1,99.84,0.16,0.5452,0.0625,0.4827,"(0, 1, 0)"
TSLA,30min,2025-03-26 14:55,269.67,270.4322,Up,Up,1,99.72,0.28,0.92,0.0625,0.8574,"(0, 1, 0)"
TSLA,1hour,2025-03-26 14:55,269.67,270.9968,Up,Up,1,99.51,0.49,1.527,0.0625,1.4644,"(0, 1, 0)"
AMZN,15min,2025-03-26 14:55,200.08,200.1811,Up,Up,1,99.95,0.05,0.1299,0.0129,0.117,"(1, 1, 0)"
AMZN,30min,2025-03-26 14:55,200.08,200.4612,Up,Up,1,99.81,0.19,0.4905,0.0129,0.4776,"(1, 1, 0)"
AMZN,1hour,2025-03-26 14:55,200.08,200.7718,Up,Up,1,99.65,0.35,0.7939,0.0129,0.781,"(1, 1, 0)"
MSFT,15min,2025-03-26 14:55,388.99,389.2226,Up,Up,1,99.94,0.06,0.2916,0.0088,0.2828,"(1, 1, 1)"
MSFT,30min,2025-03-26 14:55,388.99,389.5604,Up,Up,1,99.85,0.15,0.6771,0.0088,0.6683,"(1, 1, 1)"
MSFT,1hour,2025-03-26 14:55,388.99,389.9203,Up,Up,1,99.76,0.24,1.0307,0.0088,1.0218,"(1, 1, 1)"
